timestamp,balance,open_positions,closed_positions,win_rate,profit_factor,max_drawdown,average_trade,return_percent
2026-06-23T15:40:22.722322+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-23T15:50:59.953167+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-24T07:49:51.652285+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-24T09:53:36.127207+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-24T12:01:57.698093+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-24T15:08:04.314523+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-24T17:18:00.832270+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-24T19:10:18.204809+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-24T20:56:02.676034+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-24T22:14:42.283408+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-24T23:36:19.099527+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-25T01:37:38.467184+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-25T05:51:44.528347+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-25T08:56:00.181744+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-25T11:38:26.860978+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-25T13:51:21.266708+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-25T16:21:42.489503+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-25T18:32:34.509730+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-25T20:50:34.656535+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-25T22:19:40.700533+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-25T23:52:02.246859+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-26T02:56:29.670960+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-26T06:54:48.354429+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-26T10:22:06.594654+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-26T12:31:48.735211+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-26T15:17:05.983228+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2026-06-26T17:16:13.054024+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
